x,y,z
185.1237 , 18.59661 , 503.4996
185.3529 , 18.67121 , 501.4539
185.7961 , 18.82114 , 497.335
186.3996 , 19.04181 , 491.3544
187.1166 , 19.32045 , 483.7368
187.8715 , 19.68519 , 474.609
188.6593 , 20.09728 , 464.1213
190.2459 , 20.52175 , 452.5891
192.768 , 20.91962 , 440.1578
194.9679 , 21.28897 , 426.5953
197.3826 , 21.04769 , 411.8195
200.0059 , 20.83494 , 395.7935
203.894 , 20.6403 , 378.9899
210.5441 , 20.7149 , 362.7562
222.2896 , 21.08427 , 352.7755
232.8416 , 21.40295 , 343.1119
239.802 , 21.64307 , 330.2419
247.1618 , 21.91294 , 316.4052
253.3414 , 22.28053 , 301.2598
257.2844 , 22.66306 , 284.814
259.6089 , 23.04305 , 267.5819
255.3748 , 23.40076 , 251.3317
247.2761 , 23.6679 , 236.1421
237.1596 , 23.88932 , 221.4799
223.4574 , 23.90293 , 209.9135
206.7739 , 24.04925 , 203.018
189.0278 , 24.75267 , 198.7
172.2496 , 25.67997 , 191.6559
158.4375 , 26.98632 , 180.5005
148.3604 , 28.5807 , 166.8229
140.984 , 29.31732 , 151.5136
138.2811 , 30.03876 , 134.9737
139.8365 , 29.99946 , 118.2192
146.2553 , 29.97238 , 102.5086
157.1075 , 29.37439 , 89.61282
170.898 , 28.79788 , 79.00493
187.2528 , 28.51471 , 73.97589
204.3264 , 28.18298 , 75.4859
220.884 , 27.48209 , 81.7149
237.3271 , 26.73347 , 90.64175
254.2287 , 25.85153 , 100.9232
271.4037 , 24.89426 , 112.6131
288.9661 , 24.02467 , 125.3511
307.3375 , 23.20697 , 138.3932
326.3986 , 22.64833 , 151.6704
345.2885 , 22.12697 , 165.9133
365.1094 , 22.53376 , 178.1174
384.5538 , 22.39771 , 190.7065
402.4672 , 21.71617 , 205.5652
421.0848 , 20.53593 , 220.6106
438.2147 , 20.41633 , 237.4333
451.3563 , 19.92753 , 257.1894
461.5174 , 19.22789 , 278.8464
471.3174 , 18.31516 , 301.229
481.4792 , 17.6635 , 323.9997
491.9138 , 17.4739 , 346.9905
502.287 , 17.07712 , 370.2401
509.8172 , 17.0021 , 394.3822
512.8178 , 17.19818 , 419.019
511.4677 , 17.73137 , 443.1761
505.2129 , 18.38883 , 465.154
493.3906 , 18.80778 , 481.0084
477.3983 , 18.55208 , 489.1195
460.2485 , 18.403 , 494.4875
446.8646 , 18.32861 , 505.4354
432.6765 , 18.40454 , 516.4335
417.6643 , 18.64269 , 527.5947
402.4043 , 17.80766 , 539.7018
387.9217 , 16.7774 , 554.0676
376.5211 , 15.81686 , 571.3764
370.9143 , 15.11651 , 591.0916
367.7804 , 14.46917 , 611.9413
365.6949 , 13.87626 , 633.6132
363.7362 , 13.19045 , 656.0269
362.1885 , 12.45295 , 679.1243
362.1501 , 11.80809 , 702.7975
362.3025 , 11.218 , 726.9874
365.3567 , 10.49533 , 750.7451
372.5379 , 9.900788 , 772.3428
380.1856 , 8.909911 , 792.5612
386.4452 , 8.516108 , 813.567
389.0321 , 8.145993 , 835.2112
392.7697 , 7.699045 , 856.9135
394.4377 , 7.246909 , 879.3368
393.9424 , 6.827718 , 901.994
387.4176 , 7.098454 , 923.1342
376.2261 , 7.143329 , 941.8218
361.1821 , 6.989141 , 957.5523
343.5881 , 6.666235 , 970.7376
324.1209 , 6.529771 , 981.3875
303.8562 , 6.008469 , 991.4511
283.147 , 5.20545 , 1002.108
261.655 , 4.423446 , 1012.11
239.4135 , 3.710135 , 1020.099
218.2797 , 3.245856 , 1025.106
200.9694 , 2.774498 , 1032.137
187.7425 , 2.612952 , 1035.526
180.8544 , 2.694227 , 1033.674
173.2029 , 2.890956 , 1030.569
163.5946 , 3.064195 , 1028.034
152.5031 , 3.230603 , 1025.32
141.6155 , 3.426114 , 1020.391
137.1073 , 3.701138 , 1012.334
139.8591 , 3.979209 , 1004.022
148.0173 , 4.142734 , 999.5211
157.6065 , 4.304806 , 994.7119
167.6572 , 4.343181 , 988.0502
178.8785 , 4.35758 , 980.5728
190.5088 , 4.435236 , 971.7037
202.1259 , 4.607151 , 961.2755
214.2517 , 4.852015 , 949.9901
226.8764 , 5.110381 , 938.0343
238.3522 , 5.368291 , 924.2426
250.1552 , 5.587306 , 909.7676
262.3356 , 6.001565 , 894.7577
274.5828 , 7.280261 , 879.4835
285.4089 , 9.023678 , 863.5229
294.4477 , 10.97948 , 846.8391
298.7908 , 11.43651 , 829.4434
302.3105 , 11.7289 , 812.7872
301.306 , 11.80196 , 796.2119
298.6605 , 11.84928 , 779.1742
296.4556 , 11.91926 , 761.2366
294.1314 , 12.02319 , 742.5117
291.5924 , 12.1993 , 723.114
288.3008 , 12.37257 , 703.4102
279.3101 , 12.61121 , 687.4677
267.0574 , 12.86299 , 678.5681
257.299 , 13.01514 , 680.6507
252.5961 , 12.91697 , 690.0762
248.443 , 12.89059 , 701.4701
243.9779 , 12.87378 , 714.285
239.2618 , 12.82936 , 728.3902
232.6498 , 12.80305 , 742.7207
222.4439 , 13.28196 , 755.287
209.022 , 13.91169 , 764.382
193.5969 , 13.45362 , 771.4873
176.8318 , 12.71723 , 777.3224
161.6439 , 12.01222 , 776.2809
151.3636 , 12.20766 , 768.869
151.9194 , 12.62018 , 758.1001
154.8714 , 13.05943 , 746.7092
157.6534 , 13.39768 , 734.1011
160.5815 , 13.6882 , 720.3477
163.6526 , 13.95968 , 705.536
166.6625 , 14.23846 , 689.7541
169.179 , 14.60558 , 673.0559
171.683 , 15.03571 , 655.6024
174.0995 , 15.52277 , 637.481
176.3834 , 15.89187 , 618.7261
178.5186 , 16.24657 , 599.3617
180.5068 , 16.6175 , 579.4434
182.3476 , 17.04836 , 559.0435
184.0502 , 17.46597 , 538.2115
185.6112 , 18.12604 , 517.0338
